participant_code,user_id,session_id,quiz_id,session_start,session_end,final_score,guess_order,guess_time,guessed_word,part_of_speech,correct,score_before_guess,score_after_guess
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,1,1774995611439,to,2222,t,0,100
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,2,1774995628922,buying,6666,f,100,100
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,3,1774995630377,selling,6666,f,100,100
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,4,1774995635498,transportin,6666,f,100,100
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,5,1774995639989,transporting,6666,f,100,100
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,6,1774995640959,mining,6666,f,100,100
,1,281,a82dddae-3233-4e1e-852b-39f835cc9f29,1774995608013,1774995666073,100,7,1774995663697,many,1111,f,100,100
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,1,1775035128463,in,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,2,1775035129824,on,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,3,1775035132194,after,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,4,1775035134715,following,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,5,1775035135536,since,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,6,1775035142431,from,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,7,1775035144337,by,2222,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,8,1775035150778,trump,5555,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,9,1775035154584,luka,5555,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,10,1775035156349,brazil,5555,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,11,1775035168196,national,1111,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,12,1775035172816,1995,4444,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,13,1775035173906,1997,4444,f,0,0
,1,282,f71464ff-4f28-4ff0-a124-8048ce77f6c7,1775035125250,1775035177444,100,14,1775035175349,1996,4444,t,0,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,1,1775035200504,problems,3333,f,0,0
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,2,1775035205786,key,1111,t,0,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,3,1775035212469,3,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,4,1775035212767,4,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,5,1775035212971,5,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,6,1775035213197,6,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,7,1775035213350,7,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,8,1775035213728,8,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,9,1775035213923,9,4444,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,10,1775035221112,increase,6666,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,11,1775035223579,change,6666,f,100,100
VD7RWJN2,17,283,3556a812-5f08-4313-9f79-8994aed00d5c,1775035194233,1775035231731,100,12,1775035230575,improve,6666,f,100,100
