participant_code,user_id,session_id,quiz_id,session_start_ms,session_start_readable,session_end_ms,session_end_readable,final_score,guess_order,guess_time_ms,guess_time_readable,guessed_word,part_of_speech,correct,score_before_guess,score_after_guess
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,7,1775605534310,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),first,1111,false,300,300
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,6,1775605531222,Tue Apr 07 2026 23:45:31 GMT+0200 (heure d’été d’Europe centrale),weekend,3333,false,300,300
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,5,1775605524538,Tue Apr 07 2026 23:45:24 GMT+0200 (heure d’été d’Europe centrale),one,4444,true,200,300
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,4,1775605521626,Tue Apr 07 2026 23:45:21 GMT+0200 (heure d’été d’Europe centrale),their,2222,true,100,200
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,3,1775605520231,Tue Apr 07 2026 23:45:20 GMT+0200 (heure d’été d’Europe centrale),the,2222,false,100,100
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,2,1775605518707,Tue Apr 07 2026 23:45:18 GMT+0200 (heure d’été d’Europe centrale),an,2222,false,100,100
158a1298-b420-4522-821c-382a283bf51a,27,338,81e320a6-5992-40ee-8331-73d053cae50b,1775605513508,Tue Apr 07 2026 23:45:13 GMT+0200 (heure d’été d’Europe centrale),1775605534872,Tue Apr 07 2026 23:45:34 GMT+0200 (heure d’été d’Europe centrale),300,1,1775605516755,Tue Apr 07 2026 23:45:16 GMT+0200 (heure d’été d’Europe centrale),iran,5555,true,0,100
77beead1-b563-46df-9247-5cdef7978c97,2,334,5d504405-ea8e-41b9-a007-0b6f17c7f08b,1775596735352,Tue Apr 07 2026 21:18:55 GMT+0200 (heure d’été d’Europe centrale),1775596802332,Tue Apr 07 2026 21:20:02 GMT+0200 (heure d’été d’Europe centrale),100,14,1775596780963,Tue Apr 07 2026 21:19:40 GMT+0200 (heure d’été d’Europe centrale),poor,1111,false,100,100
77beead1-b563-46df-9247-5cdef7978c97,2,334,5d504405-ea8e-41b9-a007-0b6f17c7f08b,1775596735352,Tue Apr 07 2026 21:18:55 GMT+0200 (heure d’été d’Europe centrale),1775596802332,Tue Apr 07 2026 21:20:02 GMT+0200 (heure d’été d’Europe centrale),100,13,1775596766105,Tue Apr 07 2026 21:19:26 GMT+0200 (heure d’été d’Europe centrale),us,1111,false,100,100
77beead1-b563-46df-9247-5cdef7978c97,2,334,5d504405-ea8e-41b9-a007-0b6f17c7f08b,1775596735352,Tue Apr 07 2026 21:18:55 GMT+0200 (heure d’été d’Europe centrale),1775596802332,Tue Apr 07 2026 21:20:02 GMT+0200 (heure d’été d’Europe centrale),100,12,1775596760597,Tue Apr 07 2026 21:19:20 GMT+0200 (heure d’été d’Europe centrale),dollar,3333,true,0,100
77beead1-b563-46df-9247-5cdef7978c97,2,334,5d504405-ea8e-41b9-a007-0b6f17c7f08b,1775596735352,Tue Apr 07 2026 21:18:55 GMT+0200 (heure d’été d’Europe centrale),1775596802332,Tue Apr 07 2026 21:20:02 GMT+0200 (heure d’été d’Europe centrale),100,11,1775596744404,Tue Apr 07 2026 21:19:04 GMT+0200 (heure d’été d’Europe centrale),they,2222,false,0,0
