id,user_id,score,created_at,ended_at,adj_correct,adj_guesses,adj_score_before_guess,func_correct,func_guesses,func_score_before_guess,noun_correct,noun_guesses,noun_score_before_guess,num_correct,num_guesses,num_score_before_guess,propn_correct,propn_guesses,propn_score_before_guess,verb_correct,verb_guesses,verb_score_before_guess,guessed_words
249,1,0,1774697975776,1774697984865,0,,,0,,,0,,,0,,,0,,,0,,,[]
248,3,100,1774645720435,1774645843689,0,,,0,,,0,driver,,1,40,0,0,jane brown;truck;driver,,0,,,"[{""word"": ""40"", ""part_of_speech"": ""4444""}, {""word"": ""jane brown"", ""part_of_speech"": ""5555""}, {""word"": ""truck"", ""part_of_speech"": ""5555""}, {""word"": ""driver"", ""part_of_speech"": ""5555""}, {""word"": ""driver"", ""part_of_speech"": ""3333""}]"
247,3,100,1774645566608,1774645689974,1,more,0,0,towards,,0,,,0,100,,0,ozempic,,0,purchased,,"[{""word"": ""ozempic"", ""part_of_speech"": ""5555""}, {""word"": ""purchased"", ""part_of_speech"": ""6666""}, {""word"": ""100"", ""part_of_speech"": ""4444""}, {""word"": ""more"", ""part_of_speech"": ""1111""}, {""word"": ""towards"", ""part_of_speech"": ""2222""}]"
246,1,0,1774621213582,1774621215368,0,,,0,,,0,,,0,,,0,,,0,,,[]
245,1,500,1774621162525,1774621210128,1,country’s;only,400,1,in,100,1,dump;waste;city,300,1,million,0,0,,,1,collected;gathered;taken,200,"[{""word"": ""million"", ""part_of_speech"": ""4444""}, {""word"": ""in"", ""part_of_speech"": ""2222""}, {""word"": ""collected"", ""part_of_speech"": ""6666""}, {""word"": ""gathered"", ""part_of_speech"": ""6666""}, {""word"": ""taken"", ""part_of_speech"": ""6666""}, {""word"": ""dump"", ""part_of_speech"": ""3333""}, {""word"": ""waste"", ""part_of_speech"": ""3333""}, {""word"": ""city"", ""part_of_speech"": ""3333""}, {""word"": ""country’s"", ""part_of_speech"": ""1111""}, {""word"": ""only"", ""part_of_speech"": ""1111""}]"
244,1,400,1774620715103,1774620759732,1,young,200,1,to;from;in;toward,300,1,dark;cover,0,1,two;three,100,0,,,0,wore;tilted;rode;had;sported,,"[{""word"": ""dark"", ""part_of_speech"": ""3333""}, {""word"": ""cover"", ""part_of_speech"": ""3333""}, {""word"": ""two"", ""part_of_speech"": ""4444""}, {""word"": ""three"", ""part_of_speech"": ""4444""}, {""word"": ""young"", ""part_of_speech"": ""1111""}, {""word"": ""wore"", ""part_of_speech"": ""6666""}, {""word"": ""tilted"", ""part_of_speech"": ""6666""}, {""word"": ""rode"", ""part_of_speech"": ""6666""}, {""word"": ""had"", ""part_of_speech"": ""6666""}, {""word"": ""sported"", ""part_of_speech"": ""6666""}, {""word"": ""to"", ""part_of_speech"": ""2222""}, {""word"": ""from"", ""part_of_speech"": ""2222""}, {""word"": ""in"", ""part_of_speech"": ""2222""}, {""word"": ""toward"", ""part_of_speech"": ""2222""}]"
243,1,100,1774560231756,1774560250456,0,,,0,had,,0,,,0,one;two,,1,ice,0,0,,,"[{""word"": ""had"", ""part_of_speech"": ""2222""}, {""word"": ""one"", ""part_of_speech"": ""4444""}, {""word"": ""two"", ""part_of_speech"": ""4444""}, {""word"": ""ice"", ""part_of_speech"": ""5555""}]"
242,1,0,1774468909121,1774468911365,0,,,0,,,0,,,0,,,0,,,0,,,[]
241,1,0,1774468630842,1774468638245,0,,,0,,,0,,,0,,,0,,,0,,,[]
240,1,0,1774468616753,1774468630157,0,,,0,,,0,,,0,,,0,,,0,,,[]
