id,quiz_id,user_id,score,guessed_words,ended_at,created_at
125,"cbb4cf7a-94ba-4c8f-bb89-af09ad9ff4ff",1,0,"[]",1773599263492,1773599257876
124,"511b9a9f-712c-43a5-bbc2-71ee3dcf4913",1,0,"[]",1773573033433,1773573012161
123,"002fda55-233c-43c8-8e26-44f4984bafd7",1,200,"[{""word"":""2"",""part_of_speech"":""4444""},{""word"":""increase"",""part_of_speech"":""6666""},{""word"":""withdraw"",""part_of_speech"":""6666""},{""word"":""decrease"",""part_of_speech"":""6666""},{""word"":""reduce"",""part_of_speech"":""6666""},{""word"":""withdraew"",""part_of_speech"":""6666""},{""word"":""remove"",""part_of_speech"":""6666""},{""word"":""provide"",""part_of_speech"":""6666""},{""word"":""retract"",""part_of_speech"":""6666""},{""word"":""stop"",""part_of_speech"":""6666""},{""word"":""cease"",""part_of_speech"":""6666""},{""word"":""europe"",""part_of_speech"":""3333""},{""word"":""italy"",""part_of_speech"":""3333""},{""word"":""they"",""part_of_speech"":""3333""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""donald tusk"",""part_of_speech"":""5555""}]",1773571832096,1773571710307
122,"0dabae83-9f6b-4103-8a6f-e1782f088964",1,400,"[{""word"":""strict"",""part_of_speech"":""1111""},{""word"":""violent"",""part_of_speech"":""1111""},{""word"":""harsh"",""part_of_speech"":""1111""},{""word"":""strong"",""part_of_speech"":""1111""},{""word"":""online"",""part_of_speech"":""1111""},{""word"":""government"",""part_of_speech"":""1111""},{""word"":""prison"",""part_of_speech"":""1111""},{""word"":""implementing"",""part_of_speech"":""6666""},{""word"":""department"",""part_of_speech"":""5555""},{""word"":""institute"",""part_of_speech"":""5555""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""on"",""part_of_speech"":""2222""},{""word"":""report"",""part_of_speech"":""3333""},{""word"":""reports"",""part_of_speech"":""3333""},{""word"":""news"",""part_of_speech"":""3333""},{""word"":""experts"",""part_of_speech"":""3333""},{""word"":""2"",""part_of_speech"":""4444""},{""word"":""two"",""part_of_speech"":""4444""},{""word"":""three"",""part_of_speech"":""4444""},{""word"":""3"",""part_of_speech"":""4444""},{""word"":""four"",""part_of_speech"":""4444""},{""word"":""4"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""five"",""part_of_speech"":""4444""},{""word"":""six"",""part_of_speech"":""4444""},{""word"":""6"",""part_of_speech"":""4444""},{""word"":""seven"",""part_of_speech"":""4444""},{""word"":""7"",""part_of_speech"":""4444""},{""word"":""8"",""part_of_speech"":""4444""},{""word"":""9"",""part_of_speech"":""4444""},{""word"":""10"",""part_of_speech"":""4444""},{""word"":""nine"",""part_of_speech"":""4444""},{""word"":""ten"",""part_of_speech"":""4444""}]",1773571680260,1773571558949
121,"cbb4cf7a-94ba-4c8f-bb89-af09ad9ff4ff",1,100,"[{""word"":""the"",""part_of_speech"":""2222""},{""word"":""q"",""part_of_speech"":""2222""},{""word"":""a"",""part_of_speech"":""2222""},{""word"":""this"",""part_of_speech"":""2222""},{""word"":""that"",""part_of_speech"":""2222""},{""word"":""my"",""part_of_speech"":""2222""},{""word"":""personal"",""part_of_speech"":""1111""},{""word"":""individuql"",""part_of_speech"":""1111""},{""word"":""individual"",""part_of_speech"":""1111""},{""word"":""private"",""part_of_speech"":""1111""},{""word"":""personql"",""part_of_speech"":""1111""},{""word"":""human"",""part_of_speech"":""1111""}]",1773531578414,1773531452602
120,"2420e6e0-5e2f-4dab-998c-a50b382c89cf",1,100,"[{""word"":""ben"",""part_of_speech"":""1111""},{""word"":""bomb"",""part_of_speech"":""1111""},{""word"":""missile"",""part_of_speech"":""1111""},{""word"":""killed"",""part_of_speech"":""6666""},{""word"":""injured"",""part_of_speech"":""6666""},{""word"":""head"",""part_of_speech"":""3333""},{""word"":""director"",""part_of_speech"":""3333""},{""word"":""the\\"",""part_of_speech"":""5555""},{""word"":""the"",""part_of_speech"":""5555""},{""word"":""nile"",""part_of_speech"":""5555""},{""word"":""kiro"",""part_of_speech"":""5555""},{""word"":""10"",""part_of_speech"":""4444""},{""word"":""20"",""part_of_speech"":""4444""},{""word"":""5"",""part_of_speech"":""4444""},{""word"":""1"",""part_of_speech"":""4444""},{""word"":""2"",""part_of_speech"":""4444""},{""word"":""3"",""part_of_speech"":""4444""},{""word"":""4"",""part_of_speech"":""4444""},{""word"":""6"",""part_of_speech"":""4444""},{""word"":""the"",""part_of_speech"":""2222""},{""word"":""a"",""part_of_speech"":""2222""},{""word"":""south"",""part_of_speech"":""2222""},{""word"":""north"",""part_of_speech"":""2222""}]",1773531187699,1773531053463
119,"a82dddae-3233-4e1e-852b-39f835cc9f29",1,100,"[{""word"":""most"",""part_of_speech"":""1111""},{""word"":""any"",""part_of_speech"":""1111""},{""word"":""the"",""part_of_speech"":""1111""},{""word"":""several"",""part_of_speech"":""1111""},{""word"":""to"",""part_of_speech"":""2222""},{""word"":""10"",""part_of_speech"":""4444""},{""word"":""20"",""part_of_speech"":""4444""},{""word"":""month"",""part_of_speech"":""3333""},{""word"":""year"",""part_of_speech"":""3333""},{""word"":""day"",""part_of_speech"":""3333""},{""word"":""week"",""part_of_speech"":""3333""},{""word"":""time"",""part_of_speech"":""3333""},{""word"":""period"",""part_of_speech"":""3333""},{""word"":""fuel"",""part_of_speech"":""3333""},{""word"":""mining"",""part_of_speech"":""6666""},{""word"":""buying"",""part_of_speech"":""6666""},{""word"":""burning"",""part_of_speech"":""6666""},{""word"":""selling"",""part_of_speech"":""6666""}]",1773531022862,1773530897096
118,"f71464ff-4f28-4ff0-a124-8048ce77f6c7",1,100,"[{""word"":""country"",""part_of_speech"":""1111""},{""word"":""stqte"",""part_of_speech"":""1111""},{""word"":""state"",""part_of_speech"":""1111""},{""word"":""1000"",""part_of_speech"":""4444""},{""word"":""peru"",""part_of_speech"":""5555""},{""word"":""after"",""part_of_speech"":""2222""},{""word"":""for"",""part_of_speech"":""2222""},{""word"":""follozing"",""part_of_speech"":""2222""},{""word"":""life"",""part_of_speech"":""3333""},{""word"":""privacy"",""part_of_speech"":""3333""},{""word"":""belongings"",""part_of_speech"":""3333""},{""word"":""care"",""part_of_speech"":""3333""},{""word"":""security"",""part_of_speech"":""3333""},{""word"":""safety"",""part_of_speech"":""3333""}]",1773530875096,1773530741712
117,"612ccc23-eb6b-4f0d-9fa1-b5aaaf5fc8b2",1,500,"[{""word"":""million"",""part_of_speech"":""4444""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""taken"",""part_of_speech"":""6666""},{""word"":""malawi"",""part_of_speech"":""5555""},{""word"":""indiq"",""part_of_speech"":""5555""},{""word"":""india"",""part_of_speech"":""5555""},{""word"":""africq"",""part_of_speech"":""5555""},{""word"":""city"",""part_of_speech"":""3333""},{""word"":"";ost"",""part_of_speech"":""1111""},{""word"":""most"",""part_of_speech"":""1111""},{""word"":""only"",""part_of_speech"":""1111""}]",1773530737693,1773530612775
116,"7ca06908-1bd4-4410-a6de-6fa6cbbc8864",1,300,"[{""word"":""country"",""part_of_speech"":""3333""},{""word"":""foreign"",""part_of_speech"":""3333""},{""word"":""un"",""part_of_speech"":""3333""},{""word"":""a"",""part_of_speech"":""3333""},{""word"":""in"",""part_of_speech"":""2222""},{""word"":""violent"",""part_of_speech"":""1111""},{""word"":""bad"",""part_of_speech"":""1111""},{""word"":""changing"",""part_of_speech"":""1111""},{""word"":""dangerous"",""part_of_speech"":""1111""},{""word"":""terrible"",""part_of_speech"":""1111""},{""word"":""spoke"",""part_of_speech"":""6666""},{""word"":""iran"",""part_of_speech"":""5555""}]",1773530598230,1773530473635
