to_annotate,annotate,solution_adj,solution_closed_class,solution_nouns,solution_numbers,solution_proper_nouns,solution_verbs
"Le président colombien Gustavo Petro a dit ce mercredi vouloir se « défendre judiciairement » après avoir été qualifié de « voyou » par son homologue américain Donald Trump lors d’une conférence de presse. Dans le même temps, Washington a à nouveau frappé un bateau soupçonné de trafic de drogue dans l’océan Pacifique, portant le total à cinq morts en deux jours. Trump a déclaré dans la journée que l’aide financière à la Colombie avait été arrêtée et s’est emporté contre Gustavo Petro : « Il ferait mieux de faire attention, sinon nous prendrons des mesures très sérieuses contre lui et son pays. » ","Le 3333 colombien Gustavo Petro a dit ce mercredi vouloir se « défendre judiciairement » après avoir été qualifié de « voyou » par son homologue américain 5555 5555 lors d’une conférence de presse. Dans le même temps, Washington a à nouveau frappé un bateau soupçonné de trafic de drogue dans l’océan Pacifique, portant le total à cinq morts en 4444 jours. Trump a déclaré dans la journée que l’aide financière à la Colombie avait été arrêtée et s’est emporté 2222 Gustavo Petro : « Il 6666 mieux de faire attention, sinon nous prendrons des mesures très 1111 contre lui et son pays. » ",sérieuses,contre,président,deux,Donald Trump,ferait
"La Colombie est un terrain de guerre, avec toutes les conséquences dramatiques que ça engendre. Le Bureau du Défenseur du peuple colombien (ombudsman) a fait état samedi de la mort de six mineurs lors de bombardements de l’armée visant une guérilla la semaine dernière dans une région amazonienne du sud de la Colombie.Sous la pression des États-Unis qui exigent plus d’actions contre le trafic de drogue, le président colombien Gustavo Petro a intensifié son offensive contre les groupes armés avec des bombardements qui ont fait 28 morts la semaine dernière, le plus meurtrier ayant eu lieu mardi dans le département de forêts du Guaviare avec 19 morts.Dans un message audio envoyé à la presse samedi, la Défenseure du peuple, Iris Marín, a fait état « du décès de six mineurs qui avaient été victimes de recrutement forcé », au cours de ce bombardement aérien qui visait un groupe dissident issu des ex-Farc.","La 5555 est un terrain de guerre, avec toutes les conséquences 1111 que ça engendre. Le Bureau du Défenseur du peuple colombien (ombudsman) a fait état samedi de la mort de six mineurs lors de bombardements de l’armée visant 2222 guérilla la semaine dernière dans une région amazonienne du sud de la Colombie.Sous la pression des États-Unis qui exigent plus d’actions contre le trafic de drogue, le président colombien Gustavo Petro a intensifié son offensive contre les groupes armés avec des bombardements qui ont fait 4444 morts la semaine dernière, le plus meurtrier ayant eu lieu mardi dans le 3333 de forêts du Guaviare avec 19 morts.Dans un message audio envoyé à la presse samedi, la Défenseure du peuple, Iris Marín, a fait état « du décès de six mineurs qui avaient été victimes de recrutement forcé », au cours de ce bombardement aérien qui 6666 un groupe dissident issu des ex-Farc.",dramatiques,une,département,28,Colombie,visait
"Au cœur du Pacifique, des statues parfois hautes de neuf mètres, au visage figé, sont les gardiennes de la fameuse île de Pâques. Ces géants, appelés moaï, fascinent depuis des siècles. Sculptées entre le XIIIe et le XVIIe siècle, elles pèsent parfois plusieurs tonnes, et pourtant, leurs créateurs n’avaient ni roue ni machine pour les déplacer. Alors, comment les habitants de Rapa Nui ont-ils réussi cet exploit ?Une nouvelle étude menée par les archéologues américains Carl Lipo et Terry Hunt relance le débat. Après plus de vingt ans à analyser les routes, la population, les moaï laissés aux bords des routes et à faire des tests grandeur nature, ils sont arrivés à une conclusion audacieuse : les statues auraient été déplacées debout, « en marchant ». Grâce à une base légèrement arrondie et inclinée, les moaï auraient pu avancer par un simple mouvement de balancier, tirées par des cordes de chaque côté.","Au cœur du Pacifique, des statues parfois hautes de neuf mètres, au visage figé, sont les gardiennes de la 1111 île de Pâques. Ces géants, appelés moaï, fascinent 2222 des siècles. Sculptées entre le XIIIe et le XVIIe siècle, elles pèsent parfois plusieurs tonnes, et pourtant, leurs 3333 n’avaient ni roue ni machine pour les déplacer. Alors, comment les habitants de 5555 5555 ont-ils réussi cet exploit ?Une nouvelle étude menée par les archéologues américains Carl Lipo et Terry Hunt relance le débat. Après plus de 4444 ans à analyser les routes, la population, les moaï 6666 aux bords des routes et à faire des tests grandeur nature, ils sont arrivés à une conclusion audacieuse : les statues auraient été déplacées debout, « en marchant ». Grâce à une base légèrement arrondie et inclinée, les moaï auraient pu avancer par un simple mouvement de balancier, tirées par des cordes de chaque côté.",fameuse,depuis,créateurs,vingt,Rapa Nui,laissés
"La justice turque a émis ce vendredi des mandats d’arrêt pour « génocide » contre le Premier ministre israélien, Benyamin Netanyahou, et plusieurs responsables israéliens. Parmi les autres personnalités visées on retrouve notamment le ministre de la Défense, Israël Katz, et le ministre de la Sécurité nationale, Itamar Ben Gvir.Au total, 37 suspects font l’objet de mandats d’arrêt, a précisé le parquet général d’Istanbul dans un communiqué, sans toutefois fournir de liste complète. Parmi eux figurent également le chef d’état-major israélien, Eyal Zamir, indique le parquet d’Istanbul qui dénonce le « génocide et les crimes contre l’humanité perpétrés de manière systématique par l’État israélien à Gaza ».Peu après cette annonce, Israël a rejeté les mandats d’arrêts turcs. « Israël rejette fermement, avec mépris, le dernier coup de pub du tyran Erdogan », écrit le ministre des Affaires étrangères israélien Gideon Saar, dans un message en anglais sur X.","La justice turque a émis ce vendredi des mandats d’arrêt pour « génocide » contre le Premier ministre israélien, Benyamin Netanyahou, et plusieurs responsables israéliens. Parmi les autres personnalités visées on retrouve notamment le ministre de 2222 Défense, Israël Katz, et le ministre de la Sécurité nationale, Itamar Ben Gvir.Au total, 4444 suspects font l’objet de mandats d’arrêt, a précisé le parquet général d’5555 dans un communiqué, sans toutefois fournir de liste complète. Parmi eux figurent également le chef d’état-major israélien, Eyal Zamir, indique le parquet d’Istanbul qui dénonce le « génocide et les crimes contre l’3333 perpétrés de manière systématique par l’État israélien à Gaza ».Peu après cette annonce, Israël a rejeté les mandats d’arrêts turcs. « Israël 6666 fermement, avec mépris, le dernier coup de pub du tyran Erdogan », écrit le ministre des Affaires 1111 israélien Gideon Saar, dans un message en anglais sur X.",étrangères,la,humanité,37,Istanbul,rejette
"Les autorités mexicaines ont annoncé jeudi la découverte de 48 sacs contenant des restes humains dans une fosse clandestine située dans la banlieue de Guadalajara (ouest). L’enquête se poursuit, a précisé le parquet en refusant de donner une estimation du nombre de victimes.« Nous avons besoin d’avancer sur la question médico-légale pour pouvoir vous dire à combien de victimes correspondent ces sacs », a déclaré Blanca Trujillo, vice-procureure de cet État, lors d’une conférence de presse.La fosse clandestine a été localisée il y a quatre semaines par un collectif de recherche de personnes sur un terrain vague de Zapopan, dans l’agglomération de Guadalajara. Depuis cette découverte, les autorités ont travaillé à la récupération des restes avec le soutien des membres du collectif Guerreros buscadores (« Les guerriers chercheurs »).","Les autorités 1111 ont annoncé jeudi la découverte de 4444 sacs contenant des restes humains dans une fosse clandestine située dans la banlieue de Guadalajara (ouest). L’enquête se poursuit, a précisé le parquet en refusant de donner une estimation du nombre de victimes.« Nous avons besoin d’6666 sur la question médico-légale pour pouvoir vous dire à combien de victimes correspondent ces sacs », a déclaré Blanca Trujillo, vice-procureure de cet État, lors d’une 3333 de presse.La fosse clandestine a été localisée il y a quatre semaines par un collectif de recherche de personnes sur un terrain vague de Zapopan, dans l’agglomération de Guadalajara. Depuis cette découverte, les autorités ont travaillé à la récupération des restes 2222 le soutien des membres du collectif 5555 buscadores (« Les guerriers chercheurs »).",mexicaines,avec,conférence,48,Guerreros,avancer
"Cette démarche était largement attendue. Les États-Unis ont retiré vendredi le président syrien par intérim Ahmed al-Chareh de leur liste noire des personnalités considérées comme terroristes, une décision symbolique à quelques jours de sa visite historique à la Washington.Le dirigeant sera reçu lundi par Donald Trump, première visite d’un président syrien à la Maison Blanche et consécration pour l’ancien djihadiste qui en moins d’un an de pouvoir a sorti son pays de l’isolement.Le retrait de la liste des personnalités et organisations terroristes « est prise en reconnaissance des progrès accomplis par les dirigeants syriens après le départ de Bachar al-Assad et plus de 50 ans de répression sous le régime Assad », souligne un porte-parole du ministère américain des Affaires étrangères dans un communiqué.","Cette démarche était largement attendue. Les États-Unis ont 6666 vendredi le président syrien par intérim Ahmed al-Chareh 2222 leur liste noire des personnalités considérées comme terroristes, une décision 1111 à quelques jours de sa visite historique à la 5555.Le dirigeant sera reçu lundi par Donald Trump, première visite d’un président syrien à la Maison Blanche et consécration pour l’ancien djihadiste qui en moins d’un an de pouvoir a sorti son pays de l’isolement.Le retrait de la liste des personnalités et organisations terroristes « est prise en reconnaissance des 3333 accomplis par les dirigeants syriens après le départ de Bachar al-Assad et plus de 4444 ans de répression sous le régime Assad », souligne un porte-parole du ministère américain des Affaires étrangères dans un communiqué.",symbolique,de,progrès,50,Washington,retiré
"Les autorités de Lituanie ont ""vivement"" protesté et convoqué jeudi 23 octobre au soir le chargé d'affaires de l'ambassade de Russie, dénonçant une brève incursion dans l'espace aérien de la Lituanie de deux avions russes en provenance de la région de Kaliningrad.Jeudi après-midi, un appareil Soukhoï SU-30, ""probablement au cours d'un entraînement à un ravitaillement"" en vol et un avion de ravitaillement IL-78 ont pénétré sur le territoire lituanien sur environ 700 mètres et l'ont quitté 18 secondes plus tard, près de la petite ville de Kybartai, selon un communiqué de l'armée lituanienne. Deux chasseurs Eurofighter Typhoon espagnols effectuant une mission de police aérienne de l'Otan dans les pays baltes ""ont été déployés"" aussitôt dans la zone de l'incident.","Les autorités de Lituanie ont ""vivement"" protesté et convoqué jeudi 23 octobre au soir le chargé d'affaires de l'ambassade de Russie, dénonçant une brève incursion dans l'espace aérien de la Lituanie de deux avions russes en provenance de la région de Kaliningrad.Jeudi après-midi, un appareil Soukhoï SU-30, ""probablement au cours d'un entraînement à un ravitaillement"" en vol et un avion de ravitaillement IL-78 ont pénétré sur le territoire lituanien sur environ 4444 mètres et l'ont 6666 18 secondes plus tard, près de la petite ville de 5555, selon un communiqué de l'3333 1111. Deux chasseurs Eurofighter Typhoon espagnols effectuant une mission de police aérienne de l'Otan dans 2222 pays baltes ""ont été déployés"" aussitôt dans la zone de l'incident.",lituanienne,les,armée,700,Kybartai,quitté
"Deux avions russes en provenance de la région russe de Kaliningrad, sur les rives de la Baltique, ont fait jeudi après-midi une brève incursion dans l’espace aérien de la Lituanie, a annoncé l’armée lituanienne.Un appareil Soukhoï SU-30, « probablement au cours d’un entraînement de ravitaillement » en l’air et un avion de ravitaillement IL-78 ont pénétré sur le territoire lituanien sur environ 700 mètres et l’ont quitté 18 secondes plus tard, près de la petite ville de Kybartai, selon un communiqué de l’armée lituanienne.Deux chasseurs Eurofighter Typhoon espagnols effectuant une mission de police aérienne de l’Otan dans les pays baltes « ont été déployés » aussitôt dans la zone de l’incident.Le président de la République lituanienne Gitanas Nauséda a enregistré une vidéo dans laquelle il dénonce cette incartade.","Deux avions russes en provenance de la région russe de Kaliningrad, sur les rives de la Baltique, ont fait jeudi après-midi une 1111 3333 dans l’espace aérien de la Lituanie, a annoncé l’armée lituanienne.Un appareil Soukhoï SU-30, « probablement au cours d’un entraînement de ravitaillement » en l’air et un avion de ravitaillement IL-78 ont pénétré sur le territoire lituanien sur environ 4444 mètres et l’ont quitté 18 secondes plus tard, près de la petite ville de Kybartai, selon un communiqué de l’armée lituanienne.Deux chasseurs Eurofighter Typhoon espagnols effectuant une mission de police aérienne de l’Otan dans les pays baltes « ont été 6666 » aussitôt dans la zone de l’incident.Le président de la République lituanienne 5555 5555 a enregistré une vidéo dans laquelle il dénonce 2222 incartade.",brève,cette,incursion,700,Gitanas Nauséda,déployés
"Léon XIV a présidé ce jeudi une célébration pas comme les autres dans la chapelle Sixtine, au Vatican : le roi Charles III se trouvait en effet parmi les fidèles. Il est ainsi devenu le premier monarque britannique à prier publiquement avec un pape depuis le schisme anglican au XVIe siècle.Cette cérémonie, qui a mêlé des traditions catholiques et anglicanes, marque un nouveau rapprochement entre les deux Églises, d’une ampleur inédite depuis la naissance de l’anglicanisme en 1534, au moment de la rupture du roi Henri VIII avec Rome.Sous les fresques de Michel-Ange, Léon XIV et l’archevêque de York Stephen Cottrell ont présidé la célébration en présence de prélats catholiques et anglicans, de responsables politiques et de diplomates, tandis que la chorale de la chapelle Sixtine accompagnait celle de la chapelle Saint-Georges de Windsor. ","Léon XIV a présidé ce jeudi une célébration pas comme les autres dans la chapelle Sixtine, au Vatican : le roi Charles III se trouvait en effet parmi les fidèles. Il est ainsi devenu le premier monarque britannique à prier publiquement avec un pape 2222 le schisme anglican au XVIe siècle.Cette 3333, qui a mêlé des traditions catholiques et anglicanes, marque un nouveau rapprochement entre les deux Églises, d’une ampleur inédite depuis la naissance de l’anglicanisme en 4444, au moment de la rupture du roi 5555 5555 avec Rome.Sous les fresques de Michel-Ange, Léon XIV et l’archevêque de York Stephen Cottrell ont présidé la célébration en présence de prélats catholiques et 6666, de responsables 1111 et de diplomates, tandis que la chorale de la chapelle Sixtine accompagnait celle de la chapelle Saint-Georges de Windsor. ",politiques,depuis,cérémonie,1534,Henri VIII,anglicans
"Le Kazakhstan a officiellement annoncé rejoindre les accords d’Abraham qui visent à normaliser les relations entre Israël et les pays à majorité musulmane.Cette annonce est intervenue après que Trump a déclaré avoir eu un entretien téléphonique avec le Premier ministre israélien Benyamin Netanyahou et le président kazakh Kassym-Jomart Tokaïev. La république d’Asie centrale, tenue d’une main de fer par Tokaïev, « est le premier pays de mon second mandat à rejoindre les accords d’Abraham, le premier d’une longue série », s’est félicité Donald Trump sur son réseau Truth Social, se réjouissant « d’une avancée majeure dans la construction de ponts à travers le monde ».« Notre adhésion anticipée aux accords d’Abraham représente une suite naturelle et logique de la politique étrangère du Kazakhstan, fondée sur le dialogue, le respect mutuel et la stabilité régionale », affirme le gouvernement kazakhstanais dans un communiqué.Le Kazakhstan, 9e pays du monde par sa superficie, et 64e par sa population, à majorité musulmane, entretient déjà des relations diplomatiques et économiques complètes avec Israël, ce qui signifie que cette mesure serait essentiellement symbolique, une affirmation que le secrétaire d’État Marco Rubio a réfutée jeudi. « Il s’agit d’une relation renforcée qui va bien au-delà des simples relations diplomatiques », a-t-il assuré.","Le Kazakhstan a officiellement annoncé rejoindre les accords d’Abraham qui visent à normaliser les relations entre Israël et les pays à majorité musulmane.Cette annonce est intervenue 2222 que Trump a déclaré avoir eu un entretien téléphonique avec le Premier ministre israélien Benyamin Netanyahou et le président kazakh Kassym-Jomart Tokaïev. La république d’Asie centrale, tenue d’une main de fer par Tokaïev, « est le premier pays de mon second mandat à rejoindre les accords d’Abraham, le premier d’une longue série », s’est félicité Donald Trump sur son réseau Truth Social, se réjouissant « d’une avancée majeure dans la construction de ponts à travers le monde ».« Notre adhésion anticipée aux accords d’Abraham représente une 3333 naturelle et logique de la politique 1111 du Kazakhstan, fondée sur le dialogue, le respect mutuel et la stabilité régionale », affirme le gouvernement kazakhstanais dans un communiqué.Le Kazakhstan, 4444 pays du monde par sa superficie, et 64e par sa population, à majorité musulmane, 6666 déjà des relations diplomatiques et économiques complètes avec Israël, ce qui signifie que cette mesure serait essentiellement symbolique, une affirmation que le secrétaire d’État 5555 5555 a réfutée jeudi. « Il s’agit d’une relation renforcée qui va bien au-delà des simples relations diplomatiques », a-t-il assuré.",étrangère,après,suite,9e,Marco Rubio,entretient
